Nomaxe,NbPers,TotPopul,TotInt,IntXl,IntM,IntS,Ag24,Ag34,Ag44,Ag54,Ag64,Ag74,Ag75Plus,SwAll,SwRom,SwIt,RgLem,RgMit,RgNo,RgZu,RgOr,RgCe,RgTess
e-Mailing,5453452,79,94,98,95,82,95,98,92,94,92,93,93,95,92,91,92,93,97,95,94,96,91
Information biens/services online,4564650,66,79,88,79,50,72,87,83,82,75,68,0,78,81,76,82,79,79,80,72,80,77
Journaux online,4374902,63,76,87,75,41,80,88,79,73,65,61,57,74,78,82,77,76,76,78,68,74,82
Consultation sites (eg Wikipédia),4500658,65,78,89,78,44,88,88,79,74,66,63,59,74,87,83,84,80,76,77,70,74,83
Informations santé online,3688694,53,64,71,62,45,52,73,65,65,62,66,0,64,64,64,63,64,63,65,62,64,64
Achats online,3890240,56,67,80,66,31,62,83,71,69,59,51,0,68,65,60,66,62,70,70,66,73,62
Réservation de voyages online,3345089,48,58,64,60,34,44,68,61,61,62,49,0,56,62,57,61,54,60,62,51,58,57
e-Banking,3414374,49,59,70,58,25,49,77,66,58,50,47,0,61,56,45,56,56,60,68,58,59,45
Télécharger/regarder des films,3494612,50,60,77,55,23,91,77,66,52,37,24,0,60,62,47,60,63,63,65,55,58,46
Télécharger/écouter de la musique,2901077,42,50,65,43,21,84,64,54,39,24,22,0,51,50,41,47,50,53,55,52,46,39
Ecouter la radio ou regarder la TV,2913124,42,50,63,46,21,62,61,53,47,36,36,0,51,50,40,46,51,55,54,51,48,40
Participer à un réseau social,2732557,39,47,62,40,17,83,67,46,36,23,13,0,46,51,45,48,46,51,46,48,45,45
Téléphones ou video-conférences,2143209,31,37,50,30,13,43,50,41,34,27,17,0,36,39,35,40,32,41,41,32,36,35
Recherche  et offres d'emploi online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Télécharger des jeux ou jouer online,1351535,20,23,30,21,10,39,23,26,18,15,16,0,23,26,18,25,25,24,23,22,21,17
Vente online,1025033,15,18,23,17,0,16,26,23,15,11,0,0,16,22,0,21,20,16,17,15,15,0
Expression lors de campagnes politiques,452288,7,8,11,6,0,0,0,7,9,8,0,0,8,7,0,0,9,10,10,0,0,0
e-Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
