Nomaxe,NbPers,TotPopul,TotInt,Age1529,Age3059,Age60plus,SwAll,SwRom,SwIt,RgLem,RgMit,RgNo,RgZu,RgOr,RgCe,RgTess
e-Mailing,5785808,85,94,97,95,90,94,95,88,94,96,94,95,92,96,88
Information biens/services online,5034511,74,82,85,84,74,81,85,82,86,82,83,83,79,76,81
Journaux online,4780745,70,78,81,81,67,77,79,83,80,78,79,76,76,75,83
Consultation sites (eg Wikipédia),4630056,68,75,86,76,61,74,79,80,77,76,75,76,73,71,80
Informations santé online,4183118,61,68,69,69,64,67,72,74,71,68,72,68,62,65,74
Achats online,4612062,67,75,82,80,53,76,73,65,72,78,79,77,74,71,66
Réservation de voyages online,3942225,58,64,62,68,56,64,67,62,67,66,66,67,58,57,61
e-Banking,4190491,61,68,71,73,51,69,69,52,68,72,68,72,64,66,52
Télécharger/regarder des films,3944497,58,64,85,67,34,64,64,62,64,66,65,63,64,64,62
Télécharger/écouter de la musique,3266095,48,53,80,52,26,53,55,50,53,56,53,56,52,45,51
Ecouter la radio ou regarder la TV,3281048,48,53,65,53,41,53,56,52,56,55,53,57,49,47,51
Participer à un réseau social,3371626,49,55,83,55,23,53,61,58,60,57,53,52,51,52,58
Téléphones ou video-conférences,2787666,41,45,53,48,30,43,52,44,53,43,43,50,39,42,44
Recherche  et offres d'emploi online,1679252,25,27,42,30,,27,27,28,28,26,28,31,25,25,28
Télécharger des jeux ou jouer online,1464035,21,24,34,22,17,23,28,25,27,25,26,18,24,22,25
Vente online,1450104,21,24,24,28,13,23,24,27,23,27,25,21,21,24,26
Expression lors de campagnes politiques,652475,10,11,13,11,8,9,14,,15,10,12,10,,,
e-Learning,598821,9,10,13,10,,9,14,,15,10,,11,,,
