Variable,Value
e-Banking,0,0,0
e-Learning,5528
C,5350
D,5060
E,4891
F,4783
G,4749
H,4535
I,4455
J,4443
K,4138
L,3814
M,3797
N,3427
O,3042
FF,6058
P,2598
Q,1812
R,1723
S,1644
T,1638
U,1635
V,20000
W,1319
GG,5000
X,1215
Y,1063
Z,1048
AA,975
BB,966
CC,773
DD,684
EE,552
Hh,4535
Ii,8000
Jj,4443
Kk,4138
Ll,3814
Mm,3797
Nn,3427
Oo,3042
Ff,6058
Rr,1723
Ss,1644
Tt,1638
Uu,1635
Vv,1562
Ww,1319
GG,5000
Xx,1215
Yy,1063
Zz,1048
AAa,975
BBb,966
CCc,773
DDd,684
EEe,552
Ttt,1638
Uuu,1635
Vvv,1562
Www,1319
GgG,5000
Xxx,1215
Yy,1063
Zz,1048
AAA,975
BBB,966
CCC,773
DDD,684
EEE,100
FFF,500
GGG,1313
